;product;area;room;bath;garage;adress;price
0;Sala/Conjunto para Aluguel, 30m²;30 m²;-- Quarto;1 Banheiro;1 Vaga;Rua Joe Collaço, 341 - Córrego Grande, Florianópolis - SC;R$ 1.400 /mês
1;Casa com 3 Quartos para Aluguel, 230m²;30;3 Quartos;4 Banheiros;1 Vaga;Rua João Henrique Gonçalves, 313 - Canto dos Araçás, Florianópolis - SC;R$ 16.000 /mês
2;Ponto comercial/Loja/Box para Aluguel, 80m²;230 m²;-- Quarto;1 Banheiro;-- Vaga;Rua Deputado Paulo Preis, 78 - Jurerê, Florianópolis - SC;R$ 6.950 /mês
3;Apartamento com 3 Quartos para Aluguel, 300m²;230;3 Quartos;5 Banheiros;2 Vagas;Avenida Governador Irineu Bornhausen, 3690 - Beira Mar, Florianópolis - SC;R$ 9.950 /mês
4;Consultório para Aluguel, 350m²;80 m²;-- Quarto;5 Banheiros;1 Vaga;Rua Frei Caneca, 490 - Agronômica, Florianópolis - SC;R$ 100 /mês
5;Casa com 3 Quartos para Aluguel, 182m²;80;3 Quartos;2 Banheiros;2 Vagas;Servidão Gilberto Pereira, 945 - Campeche, Florianópolis - SC;R$ 3.300 /mês
6;Sala/Conjunto para Aluguel, 52m²;300 m²;-- Quarto;1 Banheiro;-- Vaga;Rua Trajano, 752 - Centro, Florianópolis - SC;R$ 1.400 /mês
7;Sala/Conjunto para Aluguel, 20m²;300;-- Quarto;2 Banheiros;5 Vagas;Rua Alba Dias Cunha, 244 - Trindade, Florianópolis - SC;R$ 1.770 /mês
8;Casa de condomínio com Quarto para Aluguel, 100m²;350 m²;1 Quarto;1 Banheiro;1 Vaga;Joao Paulo, Florianópolis - SC;R$ 600 /mês
9;Sala/Conjunto para Aluguel, 48m²;350;-- Quarto;1 Banheiro;1 Vaga;Rua Luiz Delfino, 50 - Centro, Florianópolis - SC;R$ 2.200 /mês
10;Sala/Conjunto para Aluguel, 45m²;182 m²;-- Quarto;1 Banheiro;1 Vaga;Rodovia José Carlos Daux, 5500 - Saco Grande, Florianópolis - SC;R$ 3.800 /mês
11;Casa de Vila com Quarto para Aluguel, 80m²;182;1 Quarto;1 Banheiro;1 Vaga;Rua Osvaldo Calixto de Lima - Joao Paulo, Florianópolis - SC;R$ 1.880 /mês
12;Apartamento com Quarto para Aluguel, 54m²;52 m²;1 Quarto;1 Banheiro;1 Vaga;Rua Presidente Nereu Ramos - Centro, Florianópolis - SC;R$ 3.890 /mês
13;Apartamento com Quarto para Aluguel, 50m²;52;1 Quarto;2 Banheiros;1 Vaga;Rua Irmão Joaquim, 226 - Centro, Florianópolis - SC;R$ 3.298 /mês
14;Apartamento com Quarto para Aluguel, 20m²;20 m²;1 Quarto;1 Banheiro;-- Vaga;Servidão do Palmeiras, 165 - Itacorubi, Florianópolis - SC;R$ 1.200 /mês
15;Sala/Conjunto para Aluguel, 70m²;20;-- Quarto;1 Banheiro;-- Vaga;Rua Deodoro - Centro, Florianópolis - SC;R$ 1.800 /mês
16;Casa com 3 Quartos para Aluguel, 350m²;100 m²;3 Quartos;4 Banheiros;3 Vagas;Joao Paulo, Florianópolis - SC;R$ 8.800 /mês
17;Galpão/Depósito/Armazém para Aluguel, 700m²;100;-- Quarto;3 Banheiros;6 Vagas;Rua João Evangelista da Costa - Estreito, Florianópolis - SC;R$ 6.500 /mês
18;Sala/Conjunto para Aluguel, 8m²;48 m²;-- Quarto;1 Banheiro;-- Vaga;Avenida Rio Branco - Centro, Florianópolis - SC;R$ 999 /mês
19;Casa com 4 Quartos para Aluguel, 100m²;48;4 Quartos;3 Banheiros;3 Vagas;Rua Apóstolo Paschoal, 619 - Canasvieiras, Florianópolis - SC;R$ 1.500 /dia
20;Casa com 3 Quartos para Aluguel, 195m²;45 m²;3 Quartos;2 Banheiros;3 Vagas;Avenida das Palmeiras, 729 - Daniela, Florianópolis - SC;R$ 700 /dia
21;Casa com 4 Quartos para Aluguel, 600m²;45;4 Quartos;5 Banheiros;3 Vagas;Rua das Sapopemas, 436 - Jurerê, Florianópolis - SC;R$ 23.000 /mês
22;Apartamento com 3 Quartos para Aluguel, 90m²;80 m²;3 Quartos;2 Banheiros;1 Vaga;Rua Lauro Linhares - Trindade, Florianópolis - SC;R$ 2.650 /mês
23;Apartamento com Quarto para Aluguel, 50m²;80;1 Quarto;1 Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 2.800 /mês
24;Apartamento com 3 Quartos à Venda/Aluguel 100m²;54 m²;3 Quartos;4 Banheiros;2 Vagas;Rua Orlando Odilio Koerich, 201 - Jardim Atlântico, Florianópolis - SC;"R$ 5.014 /mês
R$ 1.253.000"
25;Apartamento com 3 Quartos para Aluguel, 78m²;54;3 Quartos;1 Banheiro;2 Vagas;Capoeiras, Florianópolis - SC;R$ 2.354 /mês
26;Cobertura com 2 Quartos para Aluguel, 100m²;50 m²;2 Quartos;2 Banheiros;2 Vagas;Jurerê, Florianópolis - SC;R$ 6.600 /mês
27;Apartamento com Quarto para Aluguel, 44m²;50;1 Quarto;1 Banheiro;1 Vaga;Carvoeira, Florianópolis - SC;R$ 1.250 /mês
28;Apartamento com 2 Quartos para Aluguel, 130m²;20 m²;2 Quartos;3 Banheiros;2 Vagas;Rua Pirineus, 86 - Córrego Grande, Florianópolis - SC;R$ 4.200 /mês
29;Casa com 4 Quartos para Aluguel, 215m²;20;4 Quartos;4 Banheiros;4 Vagas;Rua Rodolfo Hickel, 567 - Canasvieiras, Florianópolis - SC;R$ 1.200 /dia
30;Apartamento com 3 Quartos para Aluguel, 147m²;70 m²;3 Quartos;2 Banheiros;1 Vaga;Centro, Florianópolis - SC;R$ 6.200 /mês
31;Apartamento com 3 Quartos para Aluguel, 72m²;70;3 Quartos;2 Banheiros;1 Vaga;Rua João Motta Espezim - Saco dos Limões, Florianópolis - SC;R$ 2.500 /mês
32;Casa com 5 Quartos para Aluguel, 180m²;350 m²;5 Quartos;5 Banheiros;2 Vagas;Avenida Jacarandá, 1679 - Daniela, Florianópolis - SC;R$ 3.800 /dia
33;Casa com 3 Quartos para Aluguel, 80m²;350;3 Quartos;2 Banheiros;-- Vaga;Rio Tavares, Florianópolis - SC;R$ 3.500 /mês
34;Apartamento com 2 Quartos para Aluguel, 70m²;700 m²;2 Quartos;1 Banheiro;1 Vaga;Rua Apóstolo Paschoal, 1269 - Canasvieiras, Florianópolis - SC;R$ 400 /dia
35;Apartamento com 2 Quartos para Aluguel, 75m²;700;2 Quartos;2 Banheiros;1 Vaga;Rua Mario Giocondo Crocetta, 145 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 750 /dia
0;Cobertura com 2 Quartos para Aluguel, 100m²;100 m²;2 Quartos;2 Banheiros;2 Vagas;Rodovia Tertuliano Brito Xavier, 2395 - Jurerê, Florianópolis - SC;R$ 6.600 /mês
1;Apartamento com 2 Quartos para Aluguel, 78m²;100;2 Quartos;1 Banheiro;1 Vaga;Rua Deputado Antônio Edu Vieira, 1620 - Pantanal, Florianópolis - SC;R$ 1.600 /mês
2;Apartamento com Quarto para Aluguel, 20m²;78 m²;1 Quarto;1 Banheiro;-- Vaga;Rua Marcus Aurélio Homem - Trindade, Florianópolis - SC;R$ 990 /mês
3;Apartamento com 2 Quartos para Venda/Aluguel 80m²;78;2 Quartos;2 Banheiros;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;"R$ 1.700 /mês
R$ 350.000"
4;Apartamento com 3 Quartos para Aluguel, 114m²;20 m²;3 Quartos;3 Banheiros;1 Vaga;Rua João Pio Duarte Silva, 0480 - Córrego Grande, Florianópolis - SC;R$ 2.200 /mês
5;Apartamento com Quarto para Aluguel, 48m²;20;1 Quarto;1 Banheiro;1 Vaga;Rua Antenor Borges - Canasvieiras, Florianópolis - SC;R$ 380 /dia
6;Cobertura com 3 Quartos para Aluguel, 166m²;80 m²;3 Quartos;3 Banheiros;2 Vagas;Jurerê, Florianópolis - SC;R$ 10.000 /mês
7;Casa com 3 Quartos para Aluguel, 120m²;80;3 Quartos;2 Banheiros;2 Vagas;Rua das Gaivotas - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 850 /dia
8;Apartamento com Quarto para Aluguel, 45m²;114 m²;1 Quarto;1 Banheiro;1 Vaga;Rua Lauro Linhares, 191 - Trindade, Florianópolis - SC;R$ 1.850 /mês
9;Apartamento com 3 Quartos para Aluguel, 91m²;114;3 Quartos;3 Banheiros;2 Vagas;Rua João Pio Duarte Silva, 1537 - Córrego Grande, Florianópolis - SC;R$ 3.700 /mês
10;Apartamento com 3 Quartos para Aluguel, 88m²;48 m²;3 Quartos;2 Banheiros;1 Vaga;Rua Almirante Lamego - Centro, Florianópolis - SC;R$ 2.950 /mês
11;Casa com 2 Quartos para Aluguel, 70m²;48;2 Quartos;1 Banheiro;2 Vagas;Campeche, Florianópolis - SC;R$ 2.800 /mês
12;Casa com 4 Quartos à Venda/Aluguel 266m²;166 m²;4 Quartos;3 Banheiros;2 Vagas;Rua dos Botos - Jurerê Internacional, Florianópolis - SC;"R$ 9.500 /mês
R$ 2.980.000"
13;Apartamento com Quarto para Aluguel, 48m²;166;1 Quarto;1 Banheiro;1 Vaga;Rua Brisamar, 142 - Ingleses Norte, Florianópolis - SC;R$ 350 /dia
14;Apartamento com Quarto para Aluguel, 30m²;120 m²;1 Quarto;1 Banheiro;1 Vaga;Rua Oge Fortkamp - Trindade, Florianópolis - SC;R$ 2.500 /mês
15;Apartamento com 2 Quartos para Aluguel, 83m²;120;2 Quartos;1 Banheiro;-- Vaga;Rua Lauro Linhares - Trindade, Florianópolis - SC;R$ 1.700 /mês
16;Casa com 3 Quartos para Aluguel, 130m²;45 m²;3 Quartos;2 Banheiros;1 Vaga;Servidão Manoel Salomé Jaques, 72 - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 700 /dia
17;Casa com 5 Quartos para Aluguel, 400m²;45;5 Quartos;6 Banheiros;-- Vaga;Rua da Paz - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 4.500 /dia
18;Casa com 4 Quartos à Venda/Aluguel 330m²;91 m²;4 Quartos;5 Banheiros;2 Vagas;Rua dos Amborés - Jurerê Internacional, Florianópolis - SC;"R$ 2.500 /dia
R$ 2.500.000"
19;Casa com 4 Quartos para Venda/Aluguel 240m²;91;4 Quartos;2 Banheiros;3 Vagas;Servidão Teodoro Eugênio da Silva, 52 - Campeche, Florianópolis - SC;"R$ 6.000 /mês
R$ 1.900.000"
20;Apartamento com 2 Quartos para Venda/Aluguel 81m²;88 m²;2 Quartos;3 Banheiros;2 Vagas;Centro, Florianópolis - SC;"R$ 8.000 /mês
R$ 1.490.000"
21;Casa com 4 Quartos para Aluguel, 250m²;88;4 Quartos;4 Banheiros;4 Vagas;Rua Mário Moura, 164 - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 1.800 /dia
22;Sobrado com 2 Quartos para Aluguel, 75m²;70 m²;2 Quartos;2 Banheiros;1 Vaga;Rua Jurerê Tradicional, 167 - Jurerê, Florianópolis - SC;R$ 450 /dia
23;Sala/Conjunto para Aluguel, 45m²;70;-- Quarto;1 Banheiro;1 Vaga;Rua Souza Dutra - Estreito, Florianópolis - SC;R$ 1.350 /mês
24;Ponto comercial/Loja/Box para Aluguel, 217m²;266 m²;-- Quarto;-- Banheiro;-- Vaga;Avenida Prefeito Osmar Cunha, 217 - Centro, Florianópolis - SC;R$ 23.870 /mês
25;Apartamento com 3 Quartos para Aluguel, 106m²;266;3 Quartos;3 Banheiros;2 Vagas;Estreito, Florianópolis - SC;R$ 3.740 /mês
26;Sala/Conjunto para Aluguel, 45m²;48 m²;-- Quarto;1 Banheiro;1 Vaga;Saco Grande, Florianópolis - SC;R$ 1.200 /mês
27;Casa com 4 Quartos para Aluguel, 450m²;48;4 Quartos;5 Banheiros;8 Vagas;Avenida do Antão, 0297 - Centro, Florianópolis - SC;R$ 12.000 /mês
28;Casa com 2 Quartos para Aluguel, 70m²;30 m²;2 Quartos;1 Banheiro;3 Vagas;Servidão Manoel Jorge Filho, 190 - Ribeirão da Ilha, Florianópolis - SC;R$ 1.750 /mês
29;Casa com 3 Quartos para Aluguel, 205m²;30;3 Quartos;3 Banheiros;2 Vagas;Santo Antônio de Lisboa, Florianópolis - SC;R$ 4.300 /mês
30;Apartamento com Quarto para Aluguel, 61m²;83 m²;1 Quarto;1 Banheiro;1 Vaga;Rua Ana Maria Nunes, 128 - Córrego Grande, Florianópolis - SC;R$ 2.000 /mês
31;Apartamento com Quarto para Aluguel, 48m²;83;1 Quarto;1 Banheiro;1 Vaga;Rua Brisamar, 142 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 380 /dia
32;Casa com 2 Quartos para Aluguel, 80m²;130 m²;2 Quartos;1 Banheiro;1 Vaga;Rua do Engenho Novo - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.700 /mês
33;Apartamento com Quarto para Aluguel, 67m²;130;1 Quarto;1 Banheiro;1 Vaga;Jurerê, Florianópolis - SC;R$ 350 /dia
34;Casa com 3 Quartos para Aluguel, 407m²;400 m²;3 Quartos;3 Banheiros;2 Vagas;Rio Tavares, Florianópolis - SC;R$ 7.000 /mês
35;Casa com 2 Quartos para Aluguel, 100m²;400;2 Quartos;3 Banheiros;2 Vagas;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 3.000 /mês
0;Apartamento com 4 Quartos para Venda/Aluguel 219m²;219 m²;4 Quartos;4 Banheiros;2 Vagas;Rua Artista Bittencourt, 89 - Centro, Florianópolis - SC;"R$ 3.950 /mês
R$ 1.300.000"
1;Casa com 2 Quartos para Aluguel, 200m²;219;2 Quartos;3 Banheiros;4 Vagas;Campeche, Florianópolis - SC;R$ 8.000 /mês
2;Galpão/Depósito/Armazém para Aluguel, 0m²;200 m²;-- Quarto;1 Banheiro;2 Vagas;Rodovia João Paulo - Joao Paulo, Florianópolis - SC;R$ 4.000 /mês
3;Casa com 4 Quartos para Aluguel, 130m²;200;4 Quartos;2 Banheiros;3 Vagas;Campeche, Florianópolis - SC;R$ 6.000 /mês
4;Apartamento com 3 Quartos para Aluguel, 75m²;0 m²;3 Quartos;1 Banheiro;1 Vaga;Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC;R$ 1.750 /mês
5;Casa com 4 Quartos para Venda/Aluguel 600m²;0;4 Quartos;5 Banheiros;4 Vagas;Rua Almirante Barroso, 165 - Joao Paulo, Florianópolis - SC;"R$ 15.000 /mês
R$ 10.000.000"
6;Casa com Quarto para Aluguel, 166m²;130 m²;1 Quarto;3 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 7.000 /mês
7;Cobertura com 3 Quartos para Aluguel, 396m²;130;3 Quartos;4 Banheiros;2 Vagas;Bom Abrigo, Florianópolis - SC;R$ 8.000 /mês
8;Apartamento com Quarto para Aluguel, 46m²;75 m²;1 Quarto;1 Banheiro;1 Vaga;Rua Brisamar, 140 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 450 /dia
9;Apartamento com 2 Quartos para Aluguel, 82m²;75;2 Quartos;1 Banheiro;1 Vaga;Rua João Pio Duarte Silva, 576 - Córrego Grande, Florianópolis - SC;R$ 1.600 /mês
10;Cobertura com 2 Quartos para Aluguel, 146m²;600 m²;2 Quartos;2 Banheiros;2 Vagas;Rua Pastor William Richard Schisler Filho - Itacorubi, Florianópolis - SC;R$ 8.000 /mês
11;Apartamento com 3 Quartos para Aluguel, 85m²;600;3 Quartos;1 Banheiro;1 Vaga;Rua Delminda Silveira - Agronômica, Florianópolis - SC;R$ 2.500 /mês
12;Casa com 6 Quartos para Aluguel, 400m²;166 m²;6 Quartos;4 Banheiros;4 Vagas;Rua Itabira, 0289 - Itacorubi, Florianópolis - SC;R$ 12.000 /mês
13;Apartamento com 2 Quartos para Aluguel, 52m²;166;2 Quartos;1 Banheiro;1 Vaga;Rua Acelon Pacheco da Costa, 295 - Itacorubi, Florianópolis - SC;R$ 1.400 /mês
14;Ponto comercial/Loja/Box para Aluguel, 86m²;396 m²;-- Quarto;-- Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 3.000 /mês
15;Apartamento com 2 Quartos para Aluguel, 90m²;396;2 Quartos;2 Banheiros;-- Vaga;Lagoa da Conceição, Florianópolis - SC;R$ 2.800 /mês
16;Apartamento com 2 Quartos para Aluguel, 58m²;46 m²;2 Quartos;2 Banheiros;1 Vaga;Servidão Rita Maria Garcia - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.600 /mês
17;Sala/Conjunto para Aluguel, 30m²;46;-- Quarto;1 Banheiro;1 Vaga;Rua Cônego Bernardo - Trindade, Florianópolis - SC;R$ 1.200 /mês
18;Apartamento com 2 Quartos para Aluguel, 67m²;82 m²;2 Quartos;1 Banheiro;1 Vaga;Córrego Grande, Florianópolis - SC;R$ 2.300 /mês
19;Apartamento com 2 Quartos para Aluguel, 90m²;82;2 Quartos;2 Banheiros;1 Vaga;Jurerê, Florianópolis - SC;R$ 500 /dia
20;Apartamento com 4 Quartos para Aluguel, 100m²;146 m²;4 Quartos;2 Banheiros;1 Vaga;Rua Lauro Linhares - Trindade, Florianópolis - SC;R$ 2.850 /mês
21;Sala/Conjunto para Aluguel, 32m²;146;-- Quarto;1 Banheiro;1 Vaga;Rua Esteves Júnior, 50 - Centro, Florianópolis - SC;R$ 1.450 /mês
22;Casa com 2 Quartos para Aluguel, 79m²;85 m²;2 Quartos;3 Banheiros;1 Vaga;Servidão do Jura, 79a - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.650 /mês
23;Casa com 3 Quartos para Aluguel, 250m²;85;3 Quartos;3 Banheiros;5 Vagas;Servidão Abelardo Manoel dos Santos - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.250 /dia
24;Apartamento com 3 Quartos para Aluguel, 80m²;400 m²;3 Quartos;1 Banheiro;1 Vaga;Centro, Florianópolis - SC;R$ 1.570 /mês
25;Casa com 5 Quartos à Venda/Aluguel 334m²;400;5 Quartos;4 Banheiros;5 Vagas;Rodovia Baldicero Filomeno - Ribeirão da Ilha, Florianópolis - SC;"R$ 1.300 /dia
R$ 1.349.000"
26;Apartamento com 2 Quartos para Aluguel, 72m²;52 m²;2 Quartos;2 Banheiros;1 Vaga;Rua dos Canudos, 146 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 400 /dia
27;Apartamento com 2 Quartos para Aluguel, 72m²;52;2 Quartos;1 Banheiro;1 Vaga;Centro, Florianópolis - SC;R$ 2.600 /mês
28;Apartamento com 3 Quartos para Aluguel, 144m²;86 m²;3 Quartos;2 Banheiros;1 Vaga;Rua Esteves Júnior, 458 - Centro, Florianópolis - SC;R$ 6.200 /mês
29;Apartamento com 2 Quartos para Aluguel, 85m²;86;2 Quartos;2 Banheiros;1 Vaga;Rua do Paraíso - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 650 /dia
30;Apartamento com 2 Quartos para Aluguel, 81m²;90 m²;2 Quartos;2 Banheiros;1 Vaga;Rua Tenente Silveira, 540 - Centro, Florianópolis - SC;R$ 2.200 /mês
31;Sala/Conjunto para Aluguel, 52m²;90;-- Quarto;1 Banheiro;-- Vaga;Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC;R$ 1.150 /mês
32;Apartamento com 2 Quartos para Aluguel, 79m²;58 m²;2 Quartos;1 Banheiro;1 Vaga;Coqueiros, Florianópolis - SC;R$ 1.850 /mês
33;Apartamento com 2 Quartos à Venda/Aluguel 76m²;58;2 Quartos;3 Banheiros;1 Vaga;Rua Presidente Nereu Ramos, 160 - Centro, Florianópolis - SC;"R$ 8.124 /mês
R$ 2.031.000"
34;Apartamento com 2 Quartos à Venda/Aluguel 81m²;30 m²;2 Quartos;3 Banheiros;1 Vaga;Rua Presidente Nereu Ramos, 160 - Centro, Florianópolis - SC;"R$ 6.643 /mês
R$ 1.661.000"
35;Apartamento com Quarto para Aluguel, 40m²;30;1 Quarto;1 Banheiro;1 Vaga;Rua Fernando Machado - Centro, Florianópolis - SC;R$ 1.250 /mês
0;Casa com 4 Quartos para Aluguel, 284m²;284 m²;4 Quartos;2 Banheiros;1 Vaga;Campeche, Florianópolis - SC;R$ 5.900 /mês
1;Apartamento com 4 Quartos para Venda/Aluguel 220m²;284;4 Quartos;4 Banheiros;3 Vagas;Lagoa da Conceição, Florianópolis - SC;"R$ 4.500 /mês
R$ 1.800.000"
2;Apartamento com 2 Quartos para Aluguel, 43m²;220 m²;2 Quartos;1 Banheiro;-- Vaga;Rua Henrique Boiteux, 291 - Estreito, Florianópolis - SC;R$ 1.200 /mês
3;Apartamento com 3 Quartos para Aluguel, 69m²;220;3 Quartos;1 Banheiro;1 Vaga;Rua Douglas Seabra Levier, 140 - Trindade, Florianópolis - SC;R$ 1.800 /mês
4;Casa com 4 Quartos à Venda/Aluguel 214m²;43 m²;4 Quartos;3 Banheiros;2 Vagas;Lagoinha do Norte, Florianópolis - SC;"R$ 2.750 /dia
R$ 3.900.000"
5;Sobrado com 2 Quartos para Aluguel, 70m²;43;2 Quartos;2 Banheiros;1 Vaga;Rua Manoel Pedro Vieira, 245 - Morro das Pedras, Florianópolis - SC;R$ 2.900 /mês
6;Apartamento com Quarto para Aluguel, 20m²;69 m²;1 Quarto;1 Banheiro;-- Vaga;Rua Marcus Aurélio Homem - Trindade, Florianópolis - SC;R$ 990 /mês
7;Casa com 4 Quartos para Aluguel, 350m²;69;4 Quartos;5 Banheiros;4 Vagas;Avenida dos Búzios - Jurerê Internacional, Florianópolis - SC;R$ 7.000 /dia
8;Apartamento com Quarto para Aluguel, 35m²;214 m²;1 Quarto;1 Banheiro;-- Vaga;Rua Almirante Carlos da Silveira Carneiro, 326 - Agronômica, Florianópolis - SC;R$ 950 /mês
9;Apartamento com 3 Quartos para Aluguel, 87m²;214;3 Quartos;2 Banheiros;2 Vagas;Rua Duarte Schutel - Centro, Florianópolis - SC;R$ 2.200 /mês
10;Apartamento com Quarto para Aluguel, 57m²;70 m²;1 Quarto;1 Banheiro;-- Vaga;Rua Felipe Schmidt - Centro, Florianópolis - SC;R$ 1.300 /mês
11;Apartamento com 2 Quartos para Aluguel, 75m²;70;2 Quartos;1 Banheiro;1 Vaga;Rua Almirante Alvim - Centro, Florianópolis - SC;R$ 1.680 /mês
12;Casa com 6 Quartos para Aluguel, 480m²;20 m²;6 Quartos;8 Banheiros;2 Vagas;Rua das Caraúnas - Jurerê Internacional, Florianópolis - SC;R$ 15.000 /dia
13;Casa com 4 Quartos para Aluguel, 130m²;20;4 Quartos;2 Banheiros;3 Vagas;Campeche, Florianópolis - SC;R$ 6.000 /mês
14;Apartamento com 2 Quartos para Aluguel, 79m²;350 m²;2 Quartos;3 Banheiros;1 Vaga;Servidão Natalicia Pereira - Joao Paulo, Florianópolis - SC;R$ 2.600 /mês
15;Sala/Conjunto para Aluguel, 70m²;350;-- Quarto;1 Banheiro;-- Vaga;Avenida Afonso Delambert Neto - Lagoa da Conceição, Florianópolis - SC;R$ 3.500 /mês
16;Apartamento com 3 Quartos para Aluguel, 92m²;35 m²;3 Quartos;2 Banheiros;1 Vaga;Rua Deputado Antônio Edu Vieira, 147 - Pantanal, Florianópolis - SC;R$ 1.800 /mês
17;Apartamento com 2 Quartos para Aluguel, 60m²;35;2 Quartos;1 Banheiro;1 Vaga;Servidão Safira, 209 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.300 /mês
18;Casa com Quarto para Aluguel, 123m²;87 m²;1 Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 5.000 /mês
19;Ponto comercial/Loja/Box para Aluguel, 25m²;87;-- Quarto;1 Banheiro;-- Vaga;Rua Madre Maria Vilac, 1601 - Canasvieiras, Florianópolis - SC;R$ 2.000 /mês
20;Casa com Quarto para Aluguel, 35m²;57 m²;1 Quarto;1 Banheiro;-- Vaga;Ponta das Canas, Florianópolis - SC;R$ 230 /dia
21;Casa com 7 Quartos para Aluguel, 130m²;57;7 Quartos;3 Banheiros;4 Vagas;Servidão Lindomar Álvaro da Silveira, 156 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.200 /dia
22;Cobertura com 3 Quartos para Aluguel, 396m²;75 m²;3 Quartos;4 Banheiros;2 Vagas;Rua Fernando Ferreira de Mello, 278 - Bom Abrigo, Florianópolis - SC;R$ 11.000 /mês
23;Casa com 4 Quartos para Aluguel, 600m²;75;4 Quartos;5 Banheiros;9 Vagas;Jurerê Internacional, Florianópolis - SC;R$ 30.000 /mês
24;Sala/Conjunto para Aluguel, 27m²;480 m²;-- Quarto;1 Banheiro;-- Vaga;Rua Manoel Severino de Oliveira, 515 - Lagoa da Conceição, Florianópolis - SC;R$ 1.300 /mês
25;Apartamento com 3 Quartos para Aluguel, 106m²;480;3 Quartos;3 Banheiros;2 Vagas;Estreito, Florianópolis - SC;R$ 3.740 /mês
26;Casa com 4 Quartos para Aluguel, 153m²;130 m²;4 Quartos;4 Banheiros;2 Vagas;Rua Tangará, 112 - Agronômica, Florianópolis - SC;R$ 8.000 /mês
27;Imóvel comercial para Aluguel, 449m²;130;-- Quarto;4 Banheiros;5 Vagas;Rua Emir Rosa, 553 - Centro, Florianópolis - SC;R$ 8.900 /mês
28;Apartamento com 3 Quartos para Aluguel, 239m²;79 m²;3 Quartos;3 Banheiros;3 Vagas;Estreito, Florianópolis - SC;R$ 8.391 /mês
29;Apartamento com 2 Quartos à Venda/Aluguel 70m²;79;2 Quartos;3 Banheiros;2 Vagas;Rua Desembargador Arno Hoeschl, 290 - Centro, Florianópolis - SC;"R$ 7.082 /mês
R$ 1.770.000"
30;Apartamento com 2 Quartos para Aluguel, 79m²;70 m²;2 Quartos;1 Banheiro;1 Vaga;Coqueiros, Florianópolis - SC;R$ 1.850 /mês
31;Apartamento com 2 Quartos para Aluguel, 49m²;70;2 Quartos;1 Banheiro;2 Vagas;Rua Professor Milton Sullivan, 50 - Carvoeira, Florianópolis - SC;R$ 1.800 /mês
32;Casa com 3 Quartos para Aluguel, 100m²;92 m²;3 Quartos;3 Banheiros;3 Vagas;Rua do Marisco, 138 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.200 /dia
33;Apartamento com 2 Quartos para Aluguel, 85m²;92;2 Quartos;2 Banheiros;1 Vaga;Rua do Paraíso - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 650 /dia
34;Apartamento com 3 Quartos para Aluguel, 78m²;60 m²;3 Quartos;1 Banheiro;2 Vagas;Capoeiras, Florianópolis - SC;R$ 2.354 /mês
35;Casa com 5 Quartos para Aluguel, 280m²;60;5 Quartos;4 Banheiros;2 Vagas;Rua das Gaivotas - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 2.000 /dia
0;Apartamento com 2 Quartos para Aluguel, 49m²;49 m²;2 Quartos;1 Banheiro;2 Vagas;Rua Professor Milton Sullivan, 50 - Carvoeira, Florianópolis - SC;R$ 1.800 /mês
1;Sala/Conjunto para Aluguel, 26m²;49;-- Quarto;1 Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 800 /mês
2;Sala/Conjunto para Aluguel, 70m²;26 m²;-- Quarto;1 Banheiro;-- Vaga;Avenida Afonso Delambert Neto - Lagoa da Conceição, Florianópolis - SC;R$ 3.500 /mês
3;Apartamento com 2 Quartos para Aluguel, 85m²;26;2 Quartos;2 Banheiros;1 Vaga;Rua do Paraíso - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 650 /dia
4;Casa com Quarto para Aluguel, 123m²;70 m²;1 Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 5.000 /mês
5;Apartamento com 3 Quartos para Aluguel, 78m²;70;3 Quartos;1 Banheiro;2 Vagas;Capoeiras, Florianópolis - SC;R$ 2.354 /mês
