;product;area;room;bath;garage;adress;price
2;Imóvel comercial para Aluguel, 71m²;78 m²;-- Quarto;1 Banheiro;1 Vaga;Avenida Rio Branco - Centro, Florianópolis - SC;R$ 1.900 /mês
3;Sala/Conjunto para Aluguel, 25m²;78;-- Quarto;1 Banheiro;1 Vaga;Avenida Santa Catarina - Balneário, Florianópolis - SC;R$ 1.090 /mês
4;Ponto comercial/Loja/Box para Aluguel, 213m²;71 m²;-- Quarto;2 Banheiros;2 Vagas;Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC;R$ 14.500 /mês
5;Sala/Conjunto para Aluguel, 85m²;71;-- Quarto;1 Banheiro;-- Vaga;Rua Idalina Pereira dos Santos, 67 - Agronômica, Florianópolis - SC;R$ 1.780 /mês
6;Ponto comercial/Loja/Box para Aluguel, 686m²;25 m²;-- Quarto;1 Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 10.000 /mês
7;Apartamento com 2 Quartos para Aluguel, 70m²;25;2 Quartos;2 Banheiros;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 485 /dia
8;Imóvel comercial com Quarto para Aluguel, 278m²;213 m²;1 Quarto;3 Banheiros;4 Vagas;Rua Henrique Valgas - Centro, Florianópolis - SC;R$ 5.000 /mês
9;Sala/Conjunto para Aluguel, 70m²;213;-- Quarto;1 Banheiro;1 Vaga;Rua General Liberato Bittencourt, 1475 - Canto, Florianópolis - SC;R$ 4.566 /mês
10;Apartamento com 2 Quartos para Aluguel, 62m²;85 m²;2 Quartos;1 Banheiro;1 Vaga;Canasvieiras, Florianópolis - SC;R$ 450 /dia
11;Casa com 4 Quartos para Aluguel, 430m²;85;4 Quartos;6 Banheiros;6 Vagas;Santo Antônio de Lisboa, Florianópolis - SC;R$ 18.000 /mês
12;Apartamento com 2 Quartos para Aluguel, 68m²;686 m²;2 Quartos;2 Banheiros;2 Vagas;Itacorubi, Florianópolis - SC;R$ 2.800 /mês
13;Casa com 5 Quartos para Aluguel, 150m²;686;5 Quartos;6 Banheiros;2 Vagas;Rua dos Badejos - Jurerê Internacional, Florianópolis - SC;R$ 10.000 /dia
14;Apartamento com Quarto para Aluguel, 55m²;70 m²;1 Quarto;1 Banheiro;-- Vaga;Rua do Kalifa - Canasvieiras, Florianópolis - SC;R$ 350 /dia
15;Sala/Conjunto para Aluguel, 33m²;70;-- Quarto;1 Banheiro;1 Vaga;Rua General Liberato Bittencourt, 1475 - Canto, Florianópolis - SC;R$ 1.632 /mês
16;Sala/Conjunto para Aluguel, 110m²;278 m²;-- Quarto;1 Banheiro;-- Vaga;Saco Grande, Florianópolis - SC;R$ 8.000 /mês
17;Apartamento com 2 Quartos para Aluguel, 90m²;278;2 Quartos;2 Banheiros;1 Vaga;Rua Recanto do Sol - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 500 /dia
18;Sala/Conjunto para Aluguel, 34m²;70 m²;-- Quarto;1 Banheiro;-- Vaga;Rua Coronel Pedro Demoro, 1793 - Balneario do Estreito, Florianópolis - SC;R$ 600 /mês
19;Ponto comercial/Loja/Box para Aluguel, 306m²;70;-- Quarto;-- Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 5.200 /mês
20;Sala/Conjunto para Aluguel, 153m²;62 m²;-- Quarto;2 Banheiros;-- Vaga;Rua Cristóvão Nunes Pires - Centro, Florianópolis - SC;R$ 6.400 /mês
21;Sala/Conjunto para Venda/Aluguel 202m²;62;-- Quarto;3 Banheiros;4 Vagas;Centro, Florianópolis - SC;"R$ 19.422 /mês
R$ 5.549.229"
22;Apartamento com Quarto para Aluguel, 21m²;430 m²;1 Quarto;1 Banheiro;-- Vaga;Carvoeira, Florianópolis - SC;R$ 1.800 /mês
23;Sala/Conjunto para Aluguel, 150m²;430;-- Quarto;2 Banheiros;-- Vaga;Rua Felipe Schmidt, 249 - Centro, Florianópolis - SC;R$ 3.500 /mês
24;Sala/Conjunto para Aluguel, 39m²;68 m²;-- Quarto;1 Banheiro;-- Vaga;Avenida Mauro Ramos, 1970 - Centro, Florianópolis - SC;R$ 3.923 /mês
25;Casa com 4 Quartos para Aluguel, 350m²;68;4 Quartos;5 Banheiros;2 Vagas;Rua das Piraúnas - Jurerê Internacional, Florianópolis - SC;R$ 2.000 /dia
