;area;room;bath;garage;price;ext_area;property;zone
2244;21;0;1;1;2500;64;commercial;midtown
2245;21;0;1;1;2500;56;commercial;midtown
2246;46;2;2;1;2850;65;residential;midtown
2247;46;2;1;1;2000;70;residential;midtown
2248;200;1;1;0;6000;35;residential;north
2249;200;0;1;0;700;30;commercial;midtown
2250;40;2;2;1;9000;63;residential;north
2251;40;1;1;1;1013;30;residential;north
2252;470;2;1;0;1200;35;residential;midtown
2253;470;0;1;1;1590;50;commercial;continental
2254;120;2;1;1;1100;50;residential;continental
2255;120;4;2;3;5500;143;residential;midtown
2256;64;0;1;1;1500;30;commercial;continental
2257;64;0;1;1;1190;45;residential;continental
2258;56;0;0;1;2000;47;commercial;midtown
2259;56;4;2;0;4500;150;commercial;midtown
2260;65;4;2;2;39000;150;residential;south
2261;65;0;1;1;95000;1743;commercial;midtown
2262;70;0;2;0;6490;120;commercial;midtown
2263;70;1;1;1;1900;47;residential;north
2264;35;4;5;2;90000;380;residential;north
2265;35;2;1;1;12600;68;residential;north
2266;30;1;1;1;7800;57;residential;north
2267;30;0;2;0;10000;288;commercial;midtown
